year(dateGMT),dayofyear(dateGMT),avg(Carbon monoxide),avg(Sulfur dioxide),avg(Ozone),avg(Nitrogen dioxide (NO2)),features
2015,71,0.30641996223597723,0.8974839904988651,0.027910682595263664,12.268262865988309,"[0.17360542554330574,0.2189478743720497,0.038844236380028256,0.2633942342414119]"
2018,181,0.1949678552751279,0.4436526201042791,0.03399793517885624,5.528194118474363,"[-0.27773995950197555,-0.1705539499719606,0.43900880212220766,-0.35268758065209044]"
2017,54,0.26372033992059823,0.4708738116360274,0.027374726200525435,11.117008549413319,"[6.856127129144577E-4,-0.14719129931778677,0.0036114683928337773,0.15816283745171159]"
2016,209,0.2097163106791288,0.7338547929549478,0.03134454029386426,7.371929041428888,"[-0.21801343243434207,0.07851273674838019,0.2645795998976658,-0.18415939495141406]"
2018,257,0.23241726453530828,0.4752793150941721,0.022383744266567314,8.40030541277726,"[-0.12608183025555442,-0.14341026577528557,-0.324486321341184,-0.09015976305039106]"
2018,112,0.2435988860593635,0.442803611118032,0.03779554230396278,7.625156627907041,"[-0.08079983954381194,-0.17128261390001867,0.6886563705792382,-0.1610129083349229]"
2018,22,0.34319931303861256,0.5996122268173032,0.021464709513408026,13.554220172466742,"[0.3225500323560078,-0.03670125643541452,-0.38490194199264544,0.38093827435866057]"
2018,265,0.21580649023176202,0.3866586165499209,0.027677224496517987,6.3079572479029,"[-0.19335015320047597,-0.2194691854740597,0.0234971389135349,-0.2814126572112036]"
2018,241,0.2609397657772385,0.46050828157349905,0.028417524625133327,7.533987335598548,"[-0.010574823196318845,-0.15608753949205487,0.07216308063652496,-0.16934631637155306]"
2015,19,0.3853540860344206,0.8347236456937018,0.01800898299355107,15.094841827064368,"[0.49326337971311923,0.16508366314130965,-0.6120749207958602,0.5217601295331833]"
2018,291,0.24157510096057,0.4759339064289933,0.02447318795506554,9.905201415374185,"[-0.08899552188281629,-0.14284846124667624,-0.1871302128556761,0.047396557995720255]"
2016,360,0.30611562030284467,0.49231780409242776,0.02236264119632155,7.629923280774474,"[0.17237293805840434,-0.12878694314530567,-0.3258735975918008,-0.1605772083058069]"
2016,103,0.22095763703326082,0.39544096732685735,0.03251255619916646,7.108712440594191,"[-0.17248965625748006,-0.2119317125870012,0.34136277442619206,-0.20821893606694816]"
2014,23,0.3805497638351653,1.5448336062672658,0.020729398904870883,16.62549661992597,"[0.4738074114767701,0.7745371808383666,-0.4332398820255569,0.6616709550881064]"
2017,254,0.24805206713087147,0.623195899642511,0.027782511945656382,7.891322126411642,"[-0.06276588056175193,-0.01646051463265201,0.03041853831071619,-0.1366838206766951]"
2017,209,0.20311475886349695,0.4946735654643099,0.027599798102756378,6.426273791362462,"[-0.24474760577006371,-0.1267651054938682,0.018407273032150468,-0.27059783119724357]"
2016,162,0.20444170108470378,0.6792667623817895,0.0368072191377773,6.440716315873545,"[-0.2393739141989046,0.03166243312766464,0.6236858596338657,-0.2692776997496654]"
2017,320,0.3374855359081688,0.6361967291409225,0.019507043325393467,14.32214268538105,"[0.29941106253905353,-0.0053025226163356245,-0.5135952447983346,0.4511308960034068]"
2015,348,0.260697156911391,0.7509842979615303,0.022464863318055393,8.914248287610594,"[-0.011557311504142366,0.09321417407822534,-0.3191537070679339,-0.04318236994951323]"
2014,229,0.22861567408023753,0.6690977442000874,0.030158169875927388,6.1295873329568975,"[-0.1414770556534117,0.022934849730076663,0.18658983413984445,-0.29771671359977764]"
2016,231,0.21623231684222022,0.5806494106752208,0.027488714044663704,7.329995623034225,"[-0.19162569162948656,-0.05297613729175396,0.011104815436198498,-0.18799235533758238]"
2015,196,0.18750974493029193,0.45397235963127597,0.030466760440827745,5.835498749663979,"[-0.30794292090926995,-0.16169700963082584,0.20687599899003134,-0.3245981349801439]"
2017,150,0.20477325514237446,0.4166117230124835,0.031106385756056825,5.819301567771623,"[-0.23803122631346815,-0.19376186250563035,0.24892376733732235,-0.32607865240366185]"
2015,347,0.36411532198309865,0.6482190945122732,0.01945002823263694,10.952387444696196,"[0.40725317856010607,0.005015700297606903,-0.5173433100412921,0.1431155029565988]"
2014,243,0.2045649226048074,0.49864220799615866,0.0290564201604555,5.2893652646933536,"[-0.23887490645509787,-0.12335900885277368,0.11416287462173312,-0.37451793864964206]"
2015,224,0.20727205479683597,0.5355764379873275,0.02789403147076703,6.831961033372572,"[-0.22791188695822273,-0.09166012045333675,0.037749622691535256,-0.23351563786962856]"
2016,24,0.31315645261004693,1.0710386149324767,0.025350477357628402,10.790989965384146,"[0.200886056880373,0.36790153260298303,-0.12945885324214176,0.12836282673048754]"
2018,70,0.2350390891816146,0.4900072175349826,0.029270477210949306,7.268832147250201,"[-0.11546427903309063,-0.13077000940766464,0.12823458357065806,-0.1935830557559001]"
2014,254,0.22187205281040634,0.6029645946995327,0.02523501116922743,8.095098759818054,"[-0.16878656483748386,-0.03382407893914459,-0.13704938386410434,-0.11805744120716573]"
2018,38,0.32225480624045844,0.48556431845949294,0.020452421660890976,14.108724134537436,"[0.23773147895964097,-0.13458313782532985,-0.45144784646199754,0.43162318872903044]"
2017,147,0.19886772087587298,0.3502056722165418,0.03190710778890129,5.054468196316021,"[-0.26194675119760985,-0.25075500934343403,0.30156173169862605,-0.39598890840087014]"
