lat,lon
38.614,-121.368
38.614,-121.368
38.614,-121.368
38.614,-121.368
38.614,-121.368
38.614,-121.368
38.614,-121.368
38.614,-121.368
38.614,-121.368
38.614,-121.368
38.614,-121.368
37.936,-122.026
37.936,-122.026
37.936,-122.026
37.936,-122.026
37.936,-122.026
37.936,-122.026
37.936,-122.026
37.936,-122.026
37.936,-122.026
37.936,-122.026
37.936,-122.026
37.936,-122.026
35.134,-106.585
35.134,-106.585
35.134,-106.585
35.134,-106.585
35.134,-106.585
35.134,-106.585
35.134,-106.585
35.134,-106.585
35.134,-106.585
35.134,-106.585
32.329,-90.183
32.329,-90.183
32.329,-90.183
32.329,-90.183
32.329,-90.183
32.329,-90.183
32.329,-90.183
32.329,-90.183
32.329,-90.183
32.329,-90.183
32.329,-90.183
32.329,-90.183
32.329,-90.183
32.329,-90.183
32.329,-90.183
32.329,-90.183
32.329,-90.183
32.329,-90.183
39.92,-77.31
39.92,-77.31
39.92,-77.31
39.92,-77.31
39.92,-77.31
39.92,-77.31
39.92,-77.31
39.92,-77.31
39.92,-77.31
39.92,-77.31
39.92,-77.31
39.92,-77.31
39.92,-77.31
39.92,-77.31
39.92,-77.31
39.92,-77.31
40.777,-124.179
40.777,-124.179
40.777,-124.179
40.777,-124.179
40.777,-124.179
40.777,-124.179
40.777,-124.179
40.777,-124.179
40.777,-124.179
40.777,-124.179
40.777,-124.179
40.777,-124.179
40.777,-124.179
40.777,-124.179
40.777,-124.179
40.777,-124.179
40.777,-124.179
39.779,-105.005
39.779,-105.005
39.779,-105.005
39.779,-105.005
39.779,-105.005
39.779,-105.005
39.779,-105.005
39.779,-105.005
39.779,-105.005
39.779,-105.005
39.779,-105.005
39.779,-105.005
39.779,-105.005
39.779,-105.005
41.603,-93.643
41.603,-93.643
41.603,-93.643
41.603,-93.643
41.603,-93.643
41.603,-93.643
41.603,-93.643
41.603,-93.643
41.603,-93.643
41.603,-93.643
41.603,-93.643
41.603,-93.643
32.676,-115.483
32.676,-115.483
32.676,-115.483
32.676,-115.483
32.676,-115.483
32.676,-115.483
32.676,-115.483
32.676,-115.483
32.676,-115.483
34.638,-120.458
34.638,-120.458
34.638,-120.458
34.638,-120.458
34.638,-120.458
34.638,-120.458
34.638,-120.458
34.638,-120.458
34.638,-120.458
34.638,-120.458
34.638,-120.458
34.638,-120.458
34.638,-120.458
34.638,-120.458
46.825,-100.768
46.825,-100.768
46.825,-100.768
46.825,-100.768
46.825,-100.768
46.825,-100.768
46.825,-100.768
40.721,-74.193
40.721,-74.193
40.721,-74.193
40.721,-74.193
40.721,-74.193
40.721,-74.193
40.721,-74.193
40.721,-74.193
40.721,-74.193
40.721,-74.193
40.721,-74.193
40.721,-74.193
40.721,-74.193
40.721,-74.193
40.721,-74.193
40.721,-74.193
40.721,-74.193
40.721,-74.193
38.922,-77.013
38.922,-77.013
38.922,-77.013
38.922,-77.013
38.922,-77.013
38.922,-77.013
38.922,-77.013
38.922,-77.013
38.922,-77.013
38.922,-77.013
38.922,-77.013
38.922,-77.013
38.922,-77.013
38.922,-77.013
38.922,-77.013
38.922,-77.013
38.922,-77.013
38.922,-77.013
38.922,-77.013
38.922,-77.013
38.922,-77.013
38.922,-77.013
38.922,-77.013
41.182,-104.778
41.182,-104.778
41.182,-104.778
41.182,-104.778
41.182,-104.778
41.182,-104.778
41.182,-104.778
41.182,-104.778
41.182,-104.778
41.182,-104.778
41.182,-104.778
41.182,-104.778
39.838,-104.95
39.838,-104.95
39.838,-104.95
39.838,-104.95
39.838,-104.95
39.838,-104.95
39.838,-104.95
39.838,-104.95
38.612,-90.16
38.612,-90.16
38.612,-90.16
38.612,-90.16
38.612,-90.16
38.612,-90.16
38.612,-90.16
38.612,-90.16
38.612,-90.16
38.612,-90.16
